Exp ID,Bat ID,Sex,Weight [g],Experiment date
E01,1,Female,20,20101004
E02,1,Female,20,20100930
E03,1,Female,20,20101004
E04,2,Female,19,20101004
E05,1,Female,20,20101006
E06,3,Female,25,20101224
E07,4,Male,20,20110805
E08,4,Male,21,20110810
E09,5,Female,23,20111006
E10,6,Female,23,20111010
E11,6,Female,23,20111010
E12,7,Female,20,20111010
E13,7,Female,20,20111010
E14,7,Female,20,20111011
E15,6,Female,23,20111011
E16,6,Female,23,20111011
E17,5,Female,26,20111011
E18,5,Female,26,20111011